Link,Dead Link Count
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&limit=250&userExpLevel=registered&hidemyself=1&hidebots=0&hideminor=1&hidenondamaging=1&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,5
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&limit=500&userExpLevel=registered&hidemyself=1&hidebots=0&hidecategorization=0&hidenondamaging=1&from=20200912180432&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=registered&hidemyself=1&hideWikibase=0&hidenondamaging=1&from=20200912180458&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180345&target=Module%3ATemplate_test_case%2Fconfig,6
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=registered&hidemyself=1&hidebots=0&hideWikibase=0&from=20200912180329&target=Module%3ATemplate_test_case%2Fconfig,3
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=registered&hidemyself=1&hidebots=0&hidenondamaging=1&from=20200912180458&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=unregistered&hidemyself=1&hidebots=0&hidecategorization=0&hideWikibase=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=unregistered&hidemyself=1&hidebots=0&hidecategorization=0&hidenondamaging=1&from=20200912180432&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&userExpLevel=unregistered&hidemyself=1&hideminor=1&hidecategorization=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:$%27%222&hidelinks=1&hidetrans=1,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:$%27%222&hidetrans=1&hidelinks=1&hideredirs=1,2
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:Editnotices/Group/User:The_wub&hidelinks=1&hidetrans=1,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:Editnotices/Group/User:The_wub&hidetrans=1&hidelinks=1&hideredirs=1,2
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:H.A.G.G.%CE%A3.R%3F&hidelinks=1&hidetrans=1,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Talk:H.A.G.G.%CE%A3.R%3F&hidetrans=1&hidelinks=1&hideredirs=1,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Template:Editnotices/Group/User:The_wub&hidelinks=1&hidetrans=1,3
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Template:Editnotices/Group/User:The_wub&hideredirs=1&hidetrans=1,1
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Template:Editnotices/Group/User:The_wub&hidetrans=1&hidelinks=1&hideredirs=1,2
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Template:Https://www.usnews.com/news/world-report/articles/2020-06-26/north-korea-threatens-us-with-nuclear-attack&hidelinks=1&hidetrans=1,2
https://en.wikipedia.org/w/index.php?title=Special:WhatLinksHere/Template_talk:Editnotices/Group/User:The_wub&hideredirs=1,2
